"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2011-08-29,1.61466,1.65666,1.60134,1.64734,12049515,24.7095,4.13,18651568.45
2011-08-30,1.63334,1.65134,1.606,1.642,5499885,24.63,-0.32,17764572.75
2011-08-31,1.65334,1.7,1.61866,1.64934,12356010,24.7395,0.44,17031377.25
2011-09-01,1.644,1.658,1.589,1.6,12721260,24,-2.99,15368244.05
2011-09-02,1.57734,1.59934,1.512,1.538,11554950,23.07,-3.88,14472710.3
2011-09-06,1.5,1.54666,1.486,1.52934,12146385,22.9395,-0.57,13123601.35
2011-09-07,1.55934,1.6,1.552,1.58934,6887790,23.8395,3.92,12467954.4
2011-09-08,1.572,1.602,1.552,1.574,7585455,23.61,-0.96,11674116.95
2011-09-09,1.558,1.57134,1.50334,1.53134,10038945,22.9695,-2.71,11548701.25
2011-09-12,1.5,1.554,1.49666,1.52534,8498565,22.8795,-0.39,11216864.55
2011-09-13,1.534,1.60666,1.51666,1.60534,10896915,24.0795,5.24,11207781.3
2011-09-14,1.61666,1.656,1.586,1.62266,12461640,24.3405,1.08,11427598
2011-09-15,1.63866,1.662,1.622,1.65466,8437680,24.8205,1.97,11366653
2011-09-16,1.652,1.72266,1.63266,1.72,21263595,25.8,3.95,11637406.75
2011-09-19,1.66334,1.72066,1.588,1.718,17360220,25.77,-0.12,11473960.75
2011-09-20,1.732,1.77334,1.71134,1.734,17705250,26.01,0.93,11619588.25
2011-09-21,1.73,1.79666,1.71334,1.72334,14813640,25.8495,-0.62,11708545
2011-09-22,1.70934,1.74066,1.65866,1.70866,11640015,25.6305,-0.85,11777367.95
2011-09-23,1.69934,1.77466,1.69,1.75866,17344905,26.3805,2.93,12134456.4
2011-09-26,1.768,1.768,1.66,1.70134,14020710,25.5195,-3.26,12264175.6
2011-09-27,1.73334,1.79934,1.70466,1.746,10116435,26.19,2.63,12167520.9
2011-09-28,1.73334,1.76666,1.634,1.63934,10848090,24.5895,-6.11,12434931.15
2011-09-29,1.71466,1.72134,1.57,1.608,13943160,24.12,-1.91,12514288.65
2011-09-30,1.65334,1.65934,1.566,1.626,20040795,24.39,1.12,12880265.4
2011-10-03,1.66334,1.66666,1.55,1.582,15346935,23.73,-2.71,13069864.65
2011-10-04,1.55266,1.62134,1.52866,1.57734,18003195,23.6595,-0.3,13362705.15
2011-10-05,1.602,1.72234,1.55666,1.69134,18441195,25.3695,7.23,13940376.1
2011-10-06,1.69134,1.84,1.668,1.79734,26535375,26.9595,6.27,14887872.8
2011-10-07,1.79866,1.84,1.73666,1.79934,19673205,26.9895,0.11,15369586.5
2011-10-10,1.82066,1.87866,1.8,1.85866,13851225,27.8805,3.3,15637220.2
2011-10-11,1.834,1.85134,1.806,1.84066,8640045,27.6105,-0.97,15524376.7
2011-10-12,1.81666,1.86666,1.81334,1.85334,16850445,27.7995,0.68,15743816.95
